main_headline,classification
"MARINE INTELLIGENCE.; Cleared. Arrived. Below. Miscellaneous. Spoken, &c. Foreign Ports.",9
DOINGS OF THE-PIRATES.; The Capture of the Philadelphia Schooner Henry Nutt by the Privateer Gordon Statement of Capt. Sydney Baker.,9
THE NEWS FROM EUROPE.; ARRIVAL OF THE BREMEN AT THIS PORT. How the News of the National Reverse in Virginia was Received Abroad. The Battle as Described by the Correspondent of the London Times. The Comments of the LondonPress.The Victory Unsurpassed by Austerlitz andSolferino.,9
A MAGNIFICENT PROGRAMME.; Washington not worth taking An advance urged upon Philadelphia and New-York Splendid rebel castles in the air.,9
"MISCELLANEOUS REBELLION NEWS.; A DESPONDING VIEW OF AFFAIRS AT WASHINGTON. LETTER FROM GEORGE WILKES, ESQ.",9
Important News from the National Capital.; Meaning of the Recent Order to Hurry Forward Troops. Delay and Routine to be Dispensed with. RUMORS OF REBEL MOVEMENTS. The Potomac Flotilla Materially Strengthened. Further Regulaitions in Reference to Passes. Rumored Capture of the Privateer Sumter.The Bark Joseph Maxwell of Philadelphiaa Prize.Further Captures by the Jeff Davis.Gen. Wool in Command at FortressMonroe. DISPOSAL OF PRISONERS. APPOINTMENTS IN THE ARMY. COURT MARTIAL. THE REMAINS OF COL. CAMERON. VESSELS FOR THE BLOCKADING SERVICE. GRANTING PASSES. AN ARTESIAN WELL AT MANASSAS. THE NEW OATH. MR. FAULKNER'S ACCOUNTS. APPOINTMENTS. FOUGHT AT BULL RUN. FROM FORTRESS MONROE. THE MUTINEERS. WATCHING ON THE POTOMAC. RUMORS. THE CABINET. RETURNED. GEN. M'CLELLAN'S STAFF.,9
"Examination and Committal of the Thirtyfour Pirates Taken from the Petrel, Sunkby the St. Lawrence.",9
"GONE TO FORT LAFAYETTE.; SERRELL, THE LOAN AGENT OF THE C.S.A., TRANSFERRED TO THE MILITARY AUTHORITIES.",9
"LOCAL MILITARY MOVEMENT.; Col. SERRELL'S REGIMENT OF ARTISANS AND ENGINEERS. THE YATES RIFLES, THE IRA HARRIS GUARDS. MEETING OF THE FRIENDS OF THE SEVENTY-NINTH REGIMENT (HIGHLAND GUARD.) THE EMPIRE ZOUAVES.",9
WESTERN VIRGINIA.; OPINION OF ATTORNEY-GENERAL BATES ON THE PROPOSITION TO DIVIDE THE STATE.,9
GERRIT SMITH ON THE WAR.; No Terms With Traitors The Submission of the Rebels the Sole Condition of Peace. To the New-York State Democratic Committee:,9
GENERAL MARKETS.,9
"THE SIXTY-NINTH.; LETTER FROM LIEUT. EDMUND CONNELLY, OF THE SIXTY-NINTH, TO HIS BROTHEE.",9
NEWS OF THE DAY.,9
"REASSEMBLING OF THE FIRE ZOUAVES.; MUSTER AT THE CITY ASSEMBLY ROOMS OFFICIAL LIST OF THE MEMBERS PRESENT, DISCHARGED, KILLED, WOUNDED AND DESERTED. MAJOR LEOZER'S ORDERS.",9
GENERAL CITY NEWS.,9
GENERAL MARKETS.,9
NEWS OF THE DAY.,9
The Good Omens of Slavery.,9
Confederate Finances.,9
The Suppression Newspapers.,9
The State of kanawha.,9
HEALTH OF THE ARNY.,9
GEN. WOOL'S COMMAND.,9
"THE PIRATES.; EXPERIENCES OF THE JOSEPH MAXWELL, OF PHILADELPHIA, AND THE ABBIE BRADFORD, OF NEW-YORK.",9
EFFECT OF THE SPRINGFIELD BATTLE.; THE STAMPEDE FROM SPRINGFIELD AND THE SURROUNDING COUNTRY.,9
The White Flag.,9
GENERAL MARKETING.,9
NOTES OF THE REBELLION.; INTERESTING STATEMENT OF A SOUTHERN REFUGEE.,9
NEWS OF THE DAY.,9
AFFAIRS IN WESTERN VIRGINIA.,9
"FROM KENTUCKY.; The ""Peaco Party's"" Great Ado Over ""Kentucky's Neutrality""--What they Mean and Intend, and How they will be Met.",9
"War, Cotton and Slavery.",9
How to Divide the Work.,9
AFFAIRS IN BALTIMORE.; Troops and Munitions of War on their way to Washington Machinations of the Rebels.,9
OUR ST. LOUIS CORRESPONDENCE.; POSITION OF AFFAIRS IN THE STATE WHAT THE REBELS HAVE GAINED GEN. FREMONT FORTIFYING THE CITIES GEN. SIEGEL'S COMMAND JACKSON'S PLANS.,9
GENERAL CITY NEWS.,9
MILITARY REVIEWS.; Their Neccessity What is Accomplished by Them The Practice of Napoleon and other Great Generals.,9
THE CASE OF MAJOR BERRETT.,9
ESCAPED PRISONERS.,9
"MARINE INTELLIGENCE.; Cleared. Arrived. Below. Sailed. Miscellaneous. Spoken, & c. Foreign Ports.",9
THE PIRATE STEAMER SUMTER.; IMPUDENT PROCEEDINGS OF HER COMMANDER AT PUERTO CABELLO LETTER OF CAPT. SEMMES TO THE GOVERNOR.,9
THE GREAT REBELLION.; A STATE OF QUIETUDE AT WASHIGTON. Departure of Mutineers for the Dry Tortugas. Seizure of all the small Craft on the Potomac. The Oath of Allegiance to be Administered to Pensioners.IMPORTANT FROM MISSIOURI.The Rebels Again ThreateningAthens.Expected Junction of Hardee andPillow.Probable Movements Against St. Louis andJefferson City.An Important Naval Expedition fromFortress Monroe.SPECIAL DISPATCH FROM WASHINGTON. CLOSING FOR THE ARMY. POSTSMASTERS FOR WESTERN VIRGINIA. THE MUTINEERS GONE. SMALL BOATS SEIZED. SAILORS EXPECTED. FOREIGNERS HELD AS PRISONERS. THE NEW-YORK VOLUNTEERS. MAYOR OF WASHINGTON. MORE ARRESTS FOR TREASON. MURDERING PICKETS. ANOTHER REVIEW. COLONEL OF THE THIRTEENTH. GEN. MCCLELLAN'S STAFF. THE WESTERN NAVAL FORCES. LIEUTENANT APPOINTED. REDUCING SALARIES. THE NEW-YORK SEVENTY-NINTH. GOING TO THE WEST.,9
"The Hibernian at Father Point, and the City of Washington off Cape Race.; Threatened Rupture between France and Austria. More Popular Demonstrations in Poland. Probable Dissolution of the Hungarian Diet.BRITISH ATTACKS ON AMERICAN CREDIT.Cotton Quiet Breadstuffs Declining Provisions Dull.",9
THE RIOTS IN CONNECTICUT.,9
NEWS OF THE DAY.,9
Vivid Picture of the Rebellion,9
Trade Rivalries in England.,9
Lying as a Profession.,9
The Principles at Stake.,9
MILITARY AND NAVAL MOVEMENTS.,8
CALL FOR A DEMOCRATIC STATE CONVENTION.,8
NEW-GRANADA THE REVOLUTION SUCCESS,8
NEWS OF THE DAY.,7
HOUSE OF REPRESENTATIVES.,7
AN INTERESTING SOUTHERN EXPOSITION OF THE BATTLE OF THE 21ST,7
GENERAL MARKETS.,7
HOUSE OF REPRESENTATIVES,7
AFTER THE BATTLE.,7
NEWS OF THE DAY.,7
EARTHENWARE,7
GEN. BEAUREGARD'S FORCE.,7
THE MISSISSIPPI LEGISLATURE.,7
Amusements.,7
The Case of Hon. James E. Harvey Letter to the Secretary of War.,7
NEWS OF THE DAY.,7
FOREIGN LIQUOR,7
GENERAL MARKETS.,7
SICK AND WOUNDED SOLDIERS.,7
GENERAL CITY NEWS.,7
GENERAL MARKETS.,7
NEWS OF THE DAY.,7
GEN. TYLER'S OFFICIAL REPORT.,7
NEWS OF THE DAY.,7
MR. CRITTENDEN HOPEFUL.,7
GENERAL MARKETS.,7
NEWS OF THE DAY.,7
Constitutional Hair-Splitting.,7
GENERAL MARKETS.,7
"Foreign Officers.""",7
MOVEMENTS OF GEN. ROSECRANS.,7
GENERAL MARKETS.,7
REPORT OF GEN. TYLER.,7
Position of the Rebel Forces.,7
NEWS OF THE DAY.,7
GENERAL MARKETS.,7
NEWS OF THE DAY.,7
THE BATTLE AT WILSON'S CREEK.,7
NEWS OF THE DAY.,7
Trade of Chicago.,7
ITEMS FROM THE SOUTH.,7
GENERAL CITY NEWS.,7
NEWS OF THE DAY.,7
GENERAL MARKETS.,7
NEWS OF THE DAY.,7
GENERAL MARKETS.,7
GENERAL CITY NEWS.,7
NEWS OF THE DAY.,7
"AFFAIRS IN ENGLAND.; Earl Russell's Farewell to his London Constituents His Parting Bequest to the House of Commons The Strike among the Masons Diplomatic Matters, &c.",6
NEWS OF THE DAY.,5
Party VS. the Country.,5
A GRAND-SON OF EX-PRESIDENT TYLER ARRESTED IN CINCINNATI.,5
The New Government Loan.,5
NEWS OF THE DAY.,5
Letter from a Southern Secessionist.,5
NEWS OF THE DAY.,5
THE CULINARY WANTS OF THE ARMY.; REPORT OF MR. SANDERSON.,4
The Other Side of the Story.,4
The Health of the Army.,4
LOCAL MILITARY MOVEMENTS.; SECOND NEW-JERSEY REGIMENT PREPARING AGAIN FOR THE WAR. FIRST REGIMENT GERMAN BLACK SHARP-SHOOTERS PRIZE COMMISSIONERS' OFFICE. THE SIXTY-NINTH REGIMENT. THE UNITED STATES GUARDS. THE UNITED STATES CONSTITUTION GUARD. THE THIRTEENTH REGIMENT IN THE FIELD AGAIN.,4
"AFFAIRS IN UTAH.; Auction Sale of United States Property The End of the Utah Expedition Cedar Valley to be Entirely Evacuated Bad Effect on Business, & c.",4
EUROPEAN NEWS.; The English Press on the President's Message. Interesting Parliamentary Proceedings.Health of the Emperor Napoleon Improving.A New Levy for the French Navyordered.The Attempt on the Life of the King of Prussia made by a Political Lunatic.The Difficulty Between the Spanish andHaytian Governments.,4
FROM PARIS.; How the President's Message Was Received The French Journals Compliment to Mr. Burlingame-Cassius M. Clay French Finances.,4
THE GREAT REBELLION.; Important News from Western Virginia. Gov. Wise Driven out of the Kanawha Valley. His Precipitate Flight from Gauley Bridge. His Command Completely Surrounded. Important Orders Issued by General Scott. More Caution to be Observed in Searching for Arms and Making Arrests. The Rebels Desecrating Mount Vernon. IMPORTANT FROM GEN. BANKS' COLUMN. Reported Advance of Johnston by Way of Leesburgh. MEASURES PERFECTED BY CONGRESS. ILLNESS OF MR. BUCHANAN. GEN. SCOTT'S ORDER. DEBATE IN THE SENATE. FOR THE WOUNDED AND SICK. IMPORTANT ADVICES FROM MEXICO. DISPATCH TO THE ASSOCIATED PRESS.,4
The New State Government of Missouri.,4
THE GREAT REBELLION.; Important News from the National Capital. CONGRESS TO ADJOURN ON MONDAY. All the Men and all the Money Voted that are Required. THE TARIFF REVISED. Thanks of the Nation to the Nation's Soldiers. Gen. McClellan's Head-quarters Established. The Confidence Reposed in Him by the Men. A Military Execution at Alexandria. The Rebels Threatening Bird's Point and Cairo. Five Thousand of Them but Thirty Miles Distant. Arrival of Gen. Fremont at Cairo with Reinforcements. SPECIAL DISPATCH FROM WASHINGTON. SECRETARY CAMERON GONE HOME. A BAVARIAN VISITOR. COL. BAKER'S REGIMENT. THE PATROL. GEN. M'CLELLAN'S HEAD-QUARTERS. WILL ADJOURN ON MONDAY. A MILITARY EXECUTION. GONE TO RELIEVE OUR WOUNDED. THE SUCCESS OF OUR PICKETS. RIGIDITY OF DISCIPLINE. ANOTHER REBEL FLAG OF TRUCE. MOUNT VERNON.,4
"VIEWS FROM THE CAPITAL.; Treason Among the Government Employes Religious and Social Influences The New Military Appointments, &c.",4
The New Tariff The Direct Tax The Income Tax Virtual Repeal of Sub-Treasury Law.,4
"GEN. PREMONT ACTIVE.; The following General Orders have been issued by Major-Gen. FREMONT: HEAD-QUARTERS, WESTERN DEPARTMENT, THE WAR FLEET.",4
"FROM THE PACIFIC COAST.; ARRIVAL OF THE NORTHERN LIGHT. $2,128,242 IN TREASURE. The Revolution in New-Granada.The First Cotton Crop in Nicaragua",4
Our Interests in Mexico A Gleam of Sunshine.,4
"AFFAIRS IN CALIFORNIA.; Republican Appointees in the Mint Assault Each Other A Very Superior Court and a First-class Earthquake Gov. Nye and his Private Secretaries Fourth of July Celebrations Freaks of Straggling Secessionists, &c.",4
"AFFAIRS IN CHILI.; Gas in Valparaiso Trouble about a Burial The Presidential Election St. Peter's Day, &c.",4
"FROM NICARAGUA.; Address of Hon. A. B. Dickinson, American Minister, on being Presented to the President of Nicaragua. THE PRESIDENT'S REPLY.",4
PROPERTY OF THE GOVERNMENT IN THE REBEL STATES.,4
"FROM WESTERN VIRGINIA.; Grafton to Clarksburgh Condition of the Baltimore and Ohio Railroad Description of Clarksburgh Activity of Army Operations The ""Situation"" in Western Virginia The Progress of the New State Government How it Works in Harrison County The United States District Judge a Traitor Outrage in Gilmer County Rebel Documents.",4
"SECESSION AN IMPOSSIBLE RIGHT.; The Unity of our National Character, and the Supremacy of our National Government a Covenant Running with the Land. NO. V.",4
THE NEW GOVERNMENT OF MISSOURI.,4
Our Ability to Support the War.,4
NEW PUBLICATIONS.,4
"TWO DAYS LATER FROM EUROPE; The Anglo Saxon off Father Point. 86,000 IN SPECIE. The Expected Changes in the British Ministry. Meeting in London on American Affairs. Cotton Advancing--Breadstuffe and Provisions Declining. GREAT BRITAIN. FINANCIAL AFFAIRS. FRANCE. ITALY. TURKEY.",4
THE GREAT REBELLION.; Interesting News from the National Capital. Members of Congress Leaving for Home. VISITS TO THE REBEL LINES. Unsuccessful Effort to Recover Col. Cameron's Body. Adventure of the Gun-boat Yankee witha Rebel Battery. IMPORTANT NEWS FROM MISSOURI. Plan of the Rebels to Capture St. Louis. Missouri to be Hurried out of the Union. Condition of Affairs in Western Virginia. THE NOMINATION OF MAJOR EMORY. MRS. LINCOLN AT LONG BRANCH. THE VACANCIES AT WEST POINT. THE CHARGES AGAINST GEN. RIPLEY. A MISUNDERSTANDING. CONGRESS. SHOWING HIS PATRIOTISM. MOVEMENTS OF PRINCE NAPOLEON. THE SANITARY COMMISSION. PAYMASTERS IN THE NAVY.,4
VIEWS FROM WASHINGTON.; Defeat of the Resolution Approving the Acts of the President--The Habeas Corpus Act --The Power to Suspend it--Confiscation of Rebel Property.,4
AFFAIRS IN TENNESSEE.; CHASING GOV. JOHNSON. THE PRAYER MEETING SIGN. GEN. PILLOW'S CHAIN-CABLE. THE FORCE AT CUMBERLAND GAP.,4
PROCEEDINGS OF CONGRESS.; SENATE.,4
"The ""Relative Manhood"" Question.",4
The New Financial Measures The Tariff.,4
THE SLAVE QUESTION.; Letter from Major-Gen. Butler on the Treatment of Fugitive Slaves.,4
Encouraging Business Prospects.,4
New Supplies of Cotton.,4
DEMOCRATIC STATE COMMITTEE.; THEY DECLINE TO ACT WITH THE REPUBLICAN COMMITTEE.,4
"VIEWS FROM THE CAPITAL.; The Result of the Election in Kentucky Position of Messrs. Breckinridge and Powell Improvement in the Condition of Affairsin Washington Senator Pearce, of Maryland, &c.",4
A Benefit of Direct Taxation.,4
THE PERILS OF PRIVATEERING.; THE PIRATES OF THE PETREL. HOW THE CRAFT CAME TO ENGAGE THE ST. LAWRENCE-STORY OF THE REBELS.,4
The Battle of Bull Run-Gen. McDowell's Report.,4
THE GREAT REBELLION.; Further particulars of the Dug Springs Battle. Gen. Lyon Awaiting an Attack at Springfield. A Brisk Fight in Northeastern Missouri. A Body of Rebels Repulsed from Athens. MORE FIGHTING EXPECTED. Important News from the National Capital.Arrangements for Preventing Communications with the Enemy.The Works on the Virginia Side Strengthened.Meeting of the Democratic State Committee.They Refuse to Unite with the Republicans. A GOVERNMENT CYPHER. MOVING TROOPS. THE COLONELCY OF THE SEVENTY-NINTH. THE EXCURSION TRAIN. THE SCREW STEAM-SLOOPS. MORE BRIGADIER-GENERALS. STRENGTHENING THE DEFENCES. POSTPONED. REBELS. A REVIEW. MISS DIX ILL. NEWS FROM RICHMOND.,4
Unemployed Women A Suggestion.,4
"COL. BURNSIDE'S REPORT.; HEAD-QUARTERS SECOND BRIGADE. SECOND DIVISION, MAJ.-GEN. McDOWELL'S COLUMN,",4
"NORTHERN GERMANY.; A Visit to the Coal Mines of Zwickan The Castle of Augustuburg A Wonderful Well and How it was Made The Subterranean Quarries of Robenstein, &c. Correspondence of the New-York Times. ON THE ROAD, NORTHERN GERMANY, Saturday, March 30, 1861.",4
AFFAIRS IN MISSOURI.; RESUME OF RECENT EVENTS IN THE STATE THE BATTLE NEAR SPRINGFIELD. MOVEMENTS ON THE RIVER IMMENSE QUANTITIES OF MUNITIONS. GEN. FREMONT'S BODY-GUARD.,4
"THE MOB IN CONCORD, N.H.; DESTRUCTION OF THE OFFICE OF THE DEMOCRATIC STANDARD THREE SOLIDERS WOUNDED.",4
What Have We Already Gained?,4
Prospects of the Harvest in Great Britain,4
GENERAL CITY NEWS.; Arrivals in the City.,4
"VIEWS FROM THE CAPITAL.; The Proposed Taxation Effect upon the People The Small Rate Compared with thatof Other Countries, &c.",4
German Socialism and the War.,4
The Handeuff Story.,4
"THE ARMY IN WESTERN VIRGINIA.; The Head-quarters at Clarksburgh Rumors of Rebel Movements The Objects of the Campaign in Western virginia General Rosecrans, &c.",4
Government Policy on Slavery in the Seceded States.,4
"NEW-GRANADA.; Conflicting Reports from Bogota--How the Non-Recognition of the Blockade is Received--Venezuela in a State of Auarchy,etc.",4
ANOTHER BATTLE IN MISSOURI.; DEFEAT OF THE REBEL TROOPS. OFFICIAL ANNOUNCEMENT OF THE BATTLE. FULL DETAILS OF THE BATTLE. SKETCH OF GEN. LYON. NEWS OF THE REBELLION.,4
"AFFAIRS IN UTAH.; Anniversary of the Settlement of Salt Lake Valley--Fort Crittenden Vacated--Stoppage of Newspapers--The New Prophet Joe Morris, & c.",4
"AFFAIRS IN ILLINOIS.; A Dreadful Storm at Chicago Damage among the Shipping A War Meeting What Illionis has Done Col. Fremont, & c.",4
"VIEWS FORM THE CAPITAL.; The Taxable Resources of the Country The Financial System of Secreatary Chase The Bold Policy of the British Government, & c.",4
A DAY OF FASTING AND PRAYER.; PROCLAMATION OF PRESIDENT LINCOLN.,4
BROOKLYN NEWS.; United States Troops Demand a Discharge ANOTHER HABEAS CORPUS CASE.,4
BRIG-GEN. BURNSIDE AND SENATOR WILSON.,4
MOVEMENTS TO SUPPRESS THE SLAVE-TRADE.; Convention of United States Marshals.,4
FROM RIO JANEIRO.; Arrival of the New United States Consul Effect of the Rebellion on the Coffee Trade.,4
JAMAICA.; Evils Arising from the Civil War in America Short Supplies Trade Crippled Revenue Returns Matters Political Ministerial Changes A Stormy Session Approaching Serious Matter for the Government Public Dissatisfaction at the State of theRoads Mass Meetings The Bay IslandsSan Domingo.,4
The Ability Of the Country to Take the New Loan.,4
"ARREST OF A SECESSION AGENT.; SEIZURE OF $200,000 IN BANK OF ENGLAND NOTES.",4
"NOTES OF THE REBELLION,; TEE BATTLE AT WILSON'S CREEK. The Rebels Surprised-Gallant Bravery of the Volunteers Bravery of Gen. Lyon The Killed and Wounded.",4
THE GREAT REBELLION; Important News from the National Capital.The First Seizure Under the President's Proclamation.Large Amount of Goods Intercepted atAnnapolis Junction.Communication Between Baltimore andthe Rebels Cut Off.The Departments of Northeastern Virginia and Washington Joined.GEN. MCCLELLAN IN COMMAND.Withdrawal of the Rebel Forcesto Fairfax Court-house.A Fight Expected in WesternVirginia.Important Seizure of Money by Gen.Fremont.The Rebels Threatening Fortress Monroe.Philadelphia Vessels Capturedby Pirates.,4
Rebel Advance upon St. Louis.,4
THE BATTLE AT BULL RUN.; THE FIRST MINNESOTA REGIMENT IN ACTION.OFFICIAL REPORT OF COL. GORMAN TO ACTINGBRIG.-GEN. FRANKLIN.,4
Affairs in China.; RESULT OF THE VISIT OF THE AMERICAN SQUADRON TO HANKOW.,4
Tightening the Chains.,4
Military Discipline and Soldiers' Grievances.,4
FIGHTING EXPECTED IN WESTERN VIRGINIA.,4
Prisoners of War.,4
Something for Democrats to Read Senator Douglas on the War.,4
THE BLOCKADE EXAGGERATED COMPLAINTS.,4
THE GREAT REBELLION.; Highly Important News from Washington. The Rebel Forces Gradually Approaching the Potomac.Important Order from the Secretaryof War.All New Regiments and Parts of Regimentsto be Hurried to the Capital.Equipments and Other Necessaries tobe Furnished Them.The Attitude of England andFrance.NO POLICY AGREED UPON.Additional Particulars of the Battle ofWilson's Creek.Interesting from Fortress Monroe.,4
The Capitalists and the President.,4
"THE DISPOSAL OF PRISONERS.; Would the Exchange of Prisoners Amount to a Partial Acknowlodgment of the Insurgents as Belligerents, According to International Law?",4
"AFFAIRS IN TENNESSEE & KENTUCKY.; Terrible State of Things in Tennessee East Tennessee in Danger and Calls for Help Kentucky Constantly Outraged and Threatened Designs of Breckinridge, Magoffin and their Tennessee Confederates To Avoid the Condition of MissouriKentucky Must do her whole Duty.",4
