main_headline,classification
DETAILS OF ALLEGED PLOT.,7.0
Obituary 2 -- No Title,1.0
"Population of Cincinnati, 325,902.",1.0
POINT JUDITH POLO.; Philadelphia Freebooters Were Beaten by Dedham Second Team.,9.0
ANOTHER APPEAL TO THE CZAR.,7.0
Steel Men to Meet in New York.,7.0
Front Page 10 -- No Title,7.0
BAR HARBOR CASINO PROJECT.,4.0
SAY ASSAILANTS WERE STRIKERS.; Greenbergs Accuse Former Employes of Attacking Them.,9.0
Requiem Mass to be Composed.,7.0
"Nelson Won from ""Jimmy"" Michael.",5.0
MARKET QUOTATIONS REFUSED.; Chicago Central Stock and Gram Exchange Accused of Bucket Shopping.,9.0
BRITISH WANT NO DELAY.,7.0
"DR. S.A. KNOPF'S PRIZE.; Receives 4,000 Marks for His Essay on Tuberculosis -- Were Eighty-one Competitors.",9.0
CROKER GAINS HIS POINT; Democratic State Committee to Meet at Saratoga. HILL'S WISHES ARE OVERRULED Denial of Differences Over Place of Meeting -- Reports Received by Mayor McGuire at Headquarters.,9.0
CANTACUZENE HAS AN HEIR.,1.0
THE PRESIDENT RETURNING.,7.0
Yacht Races on Chippewa Bay.,1.0
Front Page 9 -- No Title,7.0
For International Tennis Trophy.,1.0
FURTHER ATTACKS NOT LIKELY.,7.0
GERMAN CHESS TOURNAMENT.,7.0
"NEW UNION OF COAL MINERS.; Employes of Delaware, Lackawanna and Western Company Form Organization of Their Own.",9.0
Front Page 5 -- No Title,7.0
"NEW 2 PER CENT. BONDS ISSUED.; Treasury Department Will Send Out $320,680,000 at Once.",9.0
MAY ASK CHINA TO CO-OPERATE,7.0
A.D. White Sails for Home.,1.0
THE LONDON MARKET.,1.0
CHINA'S TREATY OBLIGATIONS.,5.0
MORE DETAILS FROM PEKING.; MINISTER CONGER REPORTS ALL WELL,1.0
Front Page 8 -- No Title,7.0
THE ICE TRUST ACCUSED.; Charged with Hiring a Man to Impersonate Another.,9.0
GERMANS URGE AN ADVANCE.,7.0
MAY MOVE CLUB BUILDING.; Thirty-fifth District Republicans Are Negotiating.,4.0
RESCUED BY A CADET.; Two Girls Saved from Drowning at Oakland Bench.,9.0
ANOTHER CHINESE EDICT.,7.0
"USED TOO MUCH DYNAMITE.; Burglars in Armstrong, Ill., Wrecked Bank Building, but Escaped.",9.0
Sends Thanks Through Baron Fava.,7.0
PHILADELPHIA PRICES.,1.0
REBELS SURROUND PAO-TING-FOO.,7.0
MAY REVIVE SUGAR WAR.; The Arbuckles Give Notice of an Additional Trade Discount.,9.0
Wentworth Tennis Tournament.,1.0
In Continental Centres.,1.0
COLLEGE TO TEACH HYPNOTISM.; Magnetism and Other Things Also on the Institution's List.,9.0
SCHOOLS DEPRIVED OF WATER.; Brooklyn Buildings Cut Off by Commissioner Moffett.,3.0
Secretary Pierce an Arbitrator.,1.0
YESTERDAY'S BASEBALL GAMES; New York Won Easily from Chicago -- Warner Met with Bad Accident.,9.0
PETTIGREW WITH THE BOERS.; Son of the Senator Reported to Have Joined Gen. Botha's Staff.,9.0
THE NEWS OF NEWPORT.,1.0
ELEVATED ROAD FORECLOSED.; Appellate Court in Chicago Confirms Decree In Alley Road Controversy.,9.0
"DUPED THE BARTENDERS; Shrewd Swindler in Dress Suit Worked the Tenderloin. USED A ""PHONY"" WATCH Collateral Worth About 75 Cents Exchanged for $10 and $20 Notes in Broadway Saloons.",9.0
Saratoga Races Begin To-day.,1.0
DEFENDS OREGON'S OFFICERS.,7.0
THE CHILDREN'S AID SOCIETY'S SUMMER WORK.,5.0
GERMAN MAY COMMAND ALLIES,7.0
NO CIPHER MESSAGES ALLOWED.,7.0
Front Page 3 -- No Title,7.0
Convention Table Stolen.,7.0
YONKERS COUPLE MARRY HERE.; G.H. Thomas and Miss Hollins Suddenly Conclude to Wed.,9.0
BRESCI STILL DEFIANT.,7.0
Roosevelt Invited to Kentucky.,1.0
Front Page 2 -- No Title,7.0
GOVERNOR VISITS TARS' CAMP.,7.0
MR. COLER'S RETIREMENT; He Will Quit Active Politics at Expiration of His Term. His Father Says the Controller Is Needed in the Private Business of His Banking House.,9.0
"THE BOER SURRENDER.; Less than 1,000 Laid Down Their Arms -- Lord Roberts Tells Hunter to Go After the Others.",9.0
CONDITION OF SAVINGS BANKS.,7.0
"ALTGELD CURED BY ROOSEVELT.; Was Ill, but Governor's Speech Moved Him to Engage to Reply.",9.0
ACTIVE CANVASSES IN MAINE AND VERMONT; Republicans to Work for Good Showings in September. ARRAY OF CAMPAIGN SPEAKERS Visitors at Headquarters -- John S. Wise Asks Senator Hanna to Intervene in Norfolk (Va.) District.,9.0
DEATH OF JOHN C. RIDPATH.; Historian Passes Away After a Long Illness in the Presbyterian Hospital.,1.0
MARKET CONDITIONS.,4.0
"MINISTER CONGER REPORTS ALL WELL; Dispatch Says the Besieged Have Ample Provisions. TRUCE WITH ATTACKERS Firing on Legations Ceased July 16 ""by Agreement."" OTHER DETAILED DISPATCHES Japanese Legation Reports Conditions July 22 -- Big Battle Reported at Niu-Chwang Between Rus- sians and Chinese.",9.0
SALISBURY ON ANARCHISM.,7.0
GONG AND FISH HORN IN WASHING- TON.,5.0
LINCOLN'S MOTHER'S MONUMENT.,7.0
French Troops Leave for China.,7.0
ADVISES AGAINST ADVANCE.,7.0
Article 1 -- No Title,1.0
ALL AMERICANS SAFE.,7.0
Successor to be Re-elected in November,1.0
THE NEW SETTLEMENT HOUSE.; Plans Filed by John D. Rockefeller's Private Secretary.,9.0
"DUKE OF SAXE-COBURG DEAD; Expired Suddenly at Rosenau Castle on Monday. QUEEN VICTORIA'S SECOND SON Was Afflicted with Cancer, but Did Not Know of His Malady -- Duke of Albany Succeeds Him.",9.0
British Court in Mourning.,1.0
Front Page 11 -- No Title,7.0
THE FOREIGNERS' SITUATION.,7.0
Front Page 7 -- No Title,7.0
"$10,000 Fire in Syracuse.",7.0
"RAILWAY OFFICIALS SWINDLED.; About 50,000 Miles of American Passes Sent to ""General Solicitor"" of an English Road.",9.0
Naval Reserves Arrange Cutter Race.,1.0
Front Page 1 -- No Title,7.0
CHARLES H. HOYT RELEASED.; Court Rules that He Must Be Placed in Charge of Physician.,9.0
Camp Named After Col. Liscum.,7.0
ROUGH RIDERS DENOUNCED; Major Smith's Lawyer Says They Hid Behind Hills. WARM LANGUAGE IN COURT Dismissed Officer's Effort to Get a Rehearing Bitterly Contested by the Deputy Attorney General.,3.0
BUTCHERS' ATHLETIC GAMES.; Pastime Athletic Club Members Win a Majority of the Prizes.,9.0
Fouls Mar Newport Yacht Race.,7.0
"HOW GREAT IS THIS ""YELLOW PERIL""?",9.0
Boers Evacuate Machadodorp.,7.0
Second Virginia District.,7.0
THE LIES FROM CHINA.,7.0
THE MEADE SAILS FOR TAKU.,7.0
Many Arrests in Milan.,7.0
THE THEFT OP A BEAUTIFUL FACE.,1.0
CUT IN IRON WORKERS' WAGES.; Men Fear that the Reduction Will Become General and Are Uneasy.,9.0
Front Page 1 -- No Title,7.0
BUTLER TO BELLAMY.; Senator Invites the Congressman to Expel Him from the State.,7.0
WHAT IS DOING IN SOCIETY.,7.0
Article 1 -- No Title,7.0
Article 8 -- No Title,7.0
NO TICKER GRAIN QUOTATIONS.; Chicago Board of Trade Begins Its Fight Against Bucket Shops.,10.0
"ALTGELD ON ROOSEVELT; Says His Motto Is Pompous Posing and Strenuous Strutting. REVIEWS GOVERNOR'S RECORD Tells of His ""Unique Feats"" in Cuba -- Refers to ""Hysterical Rant of a Political Mountebank.""",1.0
"TREASURY GOLD, $431,170,764.; Gross Amount Largest in the History of the Government.",9.0
Cipher Dispatches to Envoys Barred.,7.0
ABOUT ADVERTISEMENTS.; And the Need of Reform in Legal Advertising.,9.0
TOPICS OF THE TIMES.,4.0
VESPER OARSMEN SAIL; Philadelphia's Champion Crew Off for the Paris Regatta. NO SUBSTITUTES WERE TAKEN Ten Eyck Did Not Go on Account of a Misunderstanding With N.A. A.O. Officials.,9.0
Obituary Notes.,7.0
OUR RIGHTS IN ALASKA.,5.0
CHICAGO QUOTATIONS.,7.0
EX-SPEAKER REED RETICENT.; Refuses to State Whether He Will Speak in the Campaign.,9.0
EMPEROR WILLIAM'S CONDOLENCE,7.0
Front Page 4 -- No Title,7.0
BOER WAR REPORTS.; Assert that Lord Roberts Has Retreated and Lady Roberts Escaped in a Balloon.,9.0
G.A.R. INVITES GEN. GORDON.; Commander of Confederate Veterans to Go to Chicago Meeting.,6.0
Newport Women Golf Handicap.,7.0
Article 7 -- No Title,1.0
RIOTS IN NORTH CAROLINA; Red Shirts Drive Off Populist Speakers and Destroy Stand. FORECAST OF ELECTION TO-DAY Many Encounters at Democratic Rallies -- Weapons Used Freely -- Obnoxious Speakers Escape.,9.0
NEWS OF THE RAILROADS.; Shawmut Connecting Railroad.,7.0
LOST CHILD BUT SAVED WIFE.; Captain of a Canalboat Awakes to Find His Craft Sinking and Then Faces Terrible Alternative.,9.0
"Contractor Fails for $2,500,000.",7.0
POLO FOR RHODE ISLAND CUPS.; Westchester Team Defeated Point Judith by a Large Margin.,9.0
Front Page 2 -- No Title,7.0
Church Property Mortgaged.,4.0
"Union Pacific Pays in $661,643.",7.0
TRYING TO STOP ADVANCE.; Chinese Government Desperately Anxious to Prevent Movement Against Peking.,7.0
"THE SIEGE OF TIEN-TSIN; Foreigners' Desperate Plight Described by Charles F. Gammon. MEN DETAILED TO KILL WOMEN 700 Russian Troops Held 14,000 Chinese at Bay Until Assistance Arrived -- Incidents of Siege.",7.0
OPEN WAR POSSIBLE NOW.,7.0
SIDEWALK TO BE CLEAR; Pabst Hotel Portico and Balcony Must Be Removed. Commissioner Keating Decides that He Has Power and Will Notify the Owner.,5.0
"$24,750,000 FOR CRUISERS.; Bids Asked for Six Vessels of 22 Knots Speed and Displacement of Over 13,000 Tons Each.",9.0
PORTO RICAN PRICES RAISED.; Merchants Increase Cost of Necessaries of Life -- Trouble Feared.,9.0
To Examine Sisters of Charity.,7.0
Locomobile Races for Newport.,7.0
Nominations in Westchester.,7.0
Article 5 -- No Title,7.0
F. Herbert Tate Buried.,7.0
Summit Votes for Sewerage System.,7.0
MR. WOLCOTT ACCEPTS.; Will Assume the Post of Ambassador to Italy in the Fall.,9.0
MISER'S FORTUNE DISTRIBUTED.; Webbed Toes Help to Establish Brother's Relationship.,7.0
OUTSIDE SECURITIES.,7.0
BOSTON STOCK MARKET.,7.0
Earthquake In Utah.,7.0
Kebo Valley Golf Club Foursome.,7.0
CHAFFEE ORDERED TO HURRY.,7.0
"""Cash"" Sloan Won on French Track.",7.0
BELLE OF TROY BEAT IMP; Selling Class Filly Galloped in Before the Famous Mare. VOTER WON FROM HELIOBAS Only Two Ran for the Sea Cliff Stakes on the Track at Brighton Beach Yesterday.,9.0
BAR HARBOR'S SOCIAL SEASON.,7.0
Chautauqua Railroad Extension.,7.0
Incorporated in Delaware.,7.0
Big Shark Caught Near Stamford.,7.0
RACING AT SARATOGA.,7.0
JUSTICE SMYTH VERY ILL.; Physician Now Says That the Case Is Serious -- Vitality at a Low Point.,7.0
"Letter ""S"" Upsets a Verdict.",7.0
WARSHIPS NEARLY COLLIDE.; H.M.S. Phaeton and the Iowa Only Just Escape a Disaster.,4.0
BRITISH ARE WELL HATED.; Vernon-Harcourt Says It Is Because They Have Been Grabbing Land with Frantic Eagerness.,9.0
In Continental Centres.,7.0
"UNREST AT SHANGHAI.; 10,000 Refugees On the Wharves -- Missionary King's Escape.",7.0
KAISER'S LIFE THREATENED; Anarchist Arrested for Saying William's Turn Will Come Next. SHOT FIRED AT ALEXANDER? Reported that An Attempt Was made Yesterday to Kill the King of Servia.,7.0
Article 2 -- No Title,7.0
AMERICA FREE TO MADMEN.,7.0
DEATH OF W. H. BROOKER.; Was President of the Sabine Pass and Northwestern Railroad.,1.0
MARKET CONDITIONS.,9.0
NICARAGUA CANCELS CANAL CONCESSION; Seizes Property of Maritime Canal Company and Removes It. CLAIMS TIME HAS EXPIRED May Take Action Looking to Acquisition of Territory for Canal Purposes by United States.,9.0
PORT ARTHUR THREATENED.; Russians Find It Difficult to Cope With the Situation -- Chinese Troops Disguised as Civilians.,7.0
CONVENT OF OCOPA DESTROYED; Ignorant Peasantry Blame American Missionaries and Troops Are Called Out to Quell Disorder.,9.0
TEN EYCK FAMILY OFFENDED.; N.A.A.O. Would Not Make Provision for the Champion's Father.,9.0
TUBERCULOSIS EXPERIMENTS.; State Board of Health Noting the Effect of Tuberculous Milk.,7.0
Federation Wins in West Australia.,7.0
JULY TREASURY FIGURES.,7.0
THE UNITED SERVICE.,7.0
BOER ANIMOSITY TO KRUEGER.; His Statement on Paper Money Has Caused Much Misery.,9.0
"CONDEMN JOHN G. WOOLLEY.; Ministers Charge that the Candidate, with Other Prohibitionists, Desecrated the Lord's Day.",9.0
DUKE OF SAXE-COBURG'S DEATH.; Services Held Yesterday -- The Funeral to be on Saturday Next.,9.0
The Illness in the Ninth Regiment.,7.0
First Receipt of New Rice.,7.0
Obituary 2 -- No Title,7.0
DR. MORRISON'S DISPATCH.,7.0
JESTER IS ACQUITTED.; Found Not Guilty of Killing J.W. Gates's Brother in 1871.,9.0
THE INDIANAPOLIS BUILDING.; Treasury Selects Architects to Pass Upon the Plans Submitted.,9.0
PHILADELPHIA PRICES.,7.0
Bishop Moore Starts for China.,7.0
"CAPT. THOMAS, ALARMED, RAIDS ACKRON'S TIVOLI; Notorious Tenderloin Resort Yields 231 Prisoners. MEN RELEASED, WOMEN HELD Alleged Proprietor Held -- Real Owner Leaves the Place Half an Hour Before the Police Arrive.",1.0
Mrs. Botha Lord Roberts's Guest.,7.0
Suspicious Illness in Havana.,7.0
THE TIMES'S SUPPORT OF MR. McKINLEY.,7.0
"MORE BURGHERS SURRENDER.; Lord Roberts Expects the Total to Reach 4,000 -- Troops Killed in Railway Wreck.",9.0
Incorporated in New Jersey.,7.0
Arms Seized in a Canton Junk.,7.0
AMERICANS' BRILLIANT WORK.,7.0
Intense Heat in South Dakota.,7.0
HOW OTHER CITIES FARED.,7.0
THE NEWS OF NEWPORT.,7.0
MANY SEE STEERS KILLED; Women and Children in Crowd That Cheers the Slaughter. Beef Skinning Contest at Retail Butchers' Picnic -- One of the Animals Dashes into the Crowd.,9.0
Movements of Naval Vessels.,7.0
LI'S IRON RULE IN CANTON.,7.0
THIS GOVERNMENT ACTS.; Starts a Quiet Investigation of Anarchists' Groups.,7.0
HEARING IN EMBLETON CASE.; Counsel for the Cunard Line Refuses to Commit His Clients.,9.0
Article 9 -- No Title,7.0
PEACE PRESS BUREAU.; If There Is Any Peace to Report on the Bureau Will Publish the Fact.,9.0
PRESIDENT GROUT OBJECTS.; His Protests Against Grants to Jamaica Water Supply Company.,9.0
HAD SCENE IN BALLROOM.; Capt. Schmittberger's Version of An Encounter With Arthur Leslie at Bath Beach.,9.0
Witness in Goebel Trial Arrested.,7.0
EXTENT OF CHINESE WALLS.,7.0
Dwight D. Porter Dead.,7.0
J. Reiff on Goodwood Plate Winner.,7.0
PROCTOR CALLS ON HANNA.; Intimates that Republicans in Vermont Need an Awakening.,9.0
Obituary 1 -- No Title,7.0
SISTER KILLS BROTHER.; Shoots Him Dead After He Had Assaulted Another Sister and Was About to Attack Her.,9.0
"LORD FRANCIS HOPE HERE.; Accompanied by His Wife, Who Was Known as May Yohe.",7.0
Harness Racing Results.,7.0
IOWA REPUBLICANS.; State Ticket Nominated -- Sympathy for Minister Conger.,9.0
POST OFFICE EMPLOYES GET BEGGING LETTER; Gen. McAlpin Requests Funds for Republican Campaign. THE COMMENTS OF A CLERK Asks How the Men's Home Addresses Are Obtained -- Pay Day and the Request Come Together.,2.0
Wentworth Tennis Tournament.,7.0
City Island Yacht News.,7.0
GERMAN CHESS TOURNAMENT.,1.0
HILL CONDEMNS THE COURSE OF CROKER; Incensed Because State Committee's Meeting Place Is Changed. SAYS IT WILL WORK INJURY Ex-Senator's Conference With Democratic Leaders -- His First Speech in the Campaign.,9.0
"RECEIVER FOR ELYTON LAND CO.; Further Suits for Nearly $2,000,000 Filed Against the Concern.",9.0
Stuck in the Mud and Drowned.,7.0
MORE TROOPS FROM INDIA.,7.0
"LEAP FROM CARRIAGE FATAL.; Mrs. Wank, Panic-Stricken, Jumps from Barouche and Her Neck Is Broken.",9.0
NOTES FOR THE WHEELMEN.,7.0
Miss A.M. Cooney Dies at Macao.,7.0
THE LONDON MARKET.,7.0
FLOODS IN TEXAS.; Many Families Destitute -- Appeal to Governor for Public Aid.,9.0
WIFE'S DIVORCE SET ASIDE; She Would Not Live with Her Husband in a Jersey Village. There Was No Society There -- Husband Alleges Desertion and Attacks Dakota Decree on Ground of Fraud.,9.0
BRYAN ON INCOME TAX.; Will Not Discuss the Subject in His Notification Speech.,9.0
"MRS. NATALIE MAYER'S WILL.; Husband and Children Chief Beneficiaries -- $10,000 to Mr. Page.",9.0
LOSSES BY FIRE.,7.0
Mixed Drink Causes Murder.,7.0
THE CONSENT OF THE GOVERNED.,7.0
MORE EVIDENCES OF A PLOT.,7.0
LI SENDS TEXT OF EDICT.,7.0
WHITMAN TENNIS CHAMPION.; Brilliant Play in the Final Match on the Longwood Courts.,9.0
MR. WU'S FAMILY AT CAPE MAY.; The Minister Expected To-morrow to Confer With Russian Charge d'Affaires.,7.0
Dividends for Foster Creditors.,7.0
Postal Supply Service for Americans.,7.0
DANBURY FARMERS' MAN HUNT.; Seek Insulter of Women and Catch Harmless Tramp.,7.0
RAILWAY COMMISSION MEETS.; Considers the Subject of Railway Tunnels Across Manhattan Island and Under East River.,9.0
ALLEGED FIND IN PRETORIA.; Members of House of Commons Said to Have Been Aiding Boers.,7.0
ALLIES' ADVANCE BEGUN.,7.0
"CHINESE AGAIN ATTACK ENVOYS; Letter, Dated July 24, from British Minister. COULD HOLD OUT TEN DAYS Dr. Morrison Tells of imperial Government's Treachery -- Allies Begin Advance.",7.0
SICK AND WOUNDED ON SOLACE.,7.0
KING VICTOR IN MONZA.; Touching Demonstration of Welcome in His Honor -- Turbulent Anarchists Arrested.,7.0
"""NO TIME SHOULD BE LOST.""",7.0
GERMANY MAY ACT ALONE.,7.0
IN THE REAL ESTATE FIELD; Canal Street Block Front Sold -- Yesterday's Dealings at Auction -- Important Transfers.,9.0
Article 4 -- No Title,7.0
"ALMOST A CENTENARIAN.; Valentine Cox, Born Nov. 28, 1800, Dies in Brooklyn.",9.0
THE BOARD OF EDUCATION.; Salary of the Janitress of the Board's Building Increased -- New School Contracts Awarded.,9.0
NEW HAMPSHIRE DEMOCRATS.; Nominate Dr. Potter for Governor and Adopt a Platform.,9.0
WEST SHORE TRAIN WRECKED.; Rip Van Winkle Express Leaves the Track Near Kingston.,9.0
Front Page 3 -- No Title,7.0
PRESIDENT LEAVES CANTON.; Receives Delegation of Ohio Officials Before His Departure.,9.0
MR. COLER WOULD RUN TO DEFEAT RAMAPO; Sees Peril in Republican Candidate and National Issues. WATER SCHEME NOT DEAD YET Organization with Merchants Behind It to Force the Great Parties to Declare Themselves.,1.0
Small Boats Race at Bar Harbor.,7.0
Article 10 -- No Title,7.0
"Convoy, Ohio, Nearly Destroyed.",7.0
BANKRUPTCY LAW CHANGES.; Commercial Law League Will Recommend Amendments.,9.0
PITTSBURG ANARCHISTS EXULT.; Yohoghany Miners Send a Dispatch to Italy Glorying In Bresci's Crime.,7.0
"ASSASSIN'S COMRADE NICOLA QUINTAVELLI; Bresci's Fellow-Voyageur When He Went to Europe. MAY BE ITALIAN ARRESTED. Paterson Suicide Who Had Italian Cipher Code -- Denial of a Plot, but Anarchists Left for Italy.",2.0
Article 3 -- No Title,7.0
Kipling Testifies on Hospitals.,7.0
PLANS TO DEFEND SHANGHAI.,7.0
Finds Her Long-Lost Brother.,7.0
Syracuse Merchant Falls.,7.0
Old Wisconsin Settler Dead.,7.0
Kentucky Populist Candidate.,9.0
Article 6 -- No Title,7.0
STOLEN SILK RECOVERED.; Found in Two Large Trunks at Yonkers -- Thief a New Man to the Police.,9.0
CHINESE WOUNDED KILLED.; German Lieutenant Explains That It Is Impossible to Aid Them or to Take Prisoners.,2.0
"LARGE PLANTS TO COMBINE.; Crescent Iron Works and Nixon's Shipyard, It Is Reported, Will Unite.",7.0
Senator Higgins Renominated.,7.0
EDITS KAISER'S SPEECHES.; Foreign Office Takes Steps to Prevent Any More Bloodthirsty Utterances Getting into Print.,7.0
"IS JONES ""FIGHTING THE PLAT- FORM""?",8.0
A FINE PERIODICAL LIBRARY.,4.0
Before the Nets at Princeton.,7.0
The Solace Reaches Nagasaki.,7.0
TROOP SHIPS TO BE PROTECTED.,7.0
MILLIONAIRE IN JAIL.; While William Cuthbert Is in the County Prison His Mining Stock Soars in Value.,7.0
"L350,000 in Australian Gold Coming.",7.0
Article 3 -- No Title,7.0
Front Page 2 -- No Title,7.0
POST OFFICE ROBBER CAUGHT.,7.0
Prof. George L. Farnham Dead.,7.0
CONVICTS IN NEW STATE PRISON.; Batch of Prisoner Carpenters and Masons Sent from Sing Sing to Mapanoch.,9.0
Front Page 5 -- No Title,7.0
"BOY DROWNED IN MIRROR LAKE.; One of Two Companions Nearly Lost Trying to Save Him, and Is Rescued by the Other.",9.0
Bessemer Steel Mills Resume.,7.0
Police Captain Injured by His Horse.,7.0
Admiral Schley Escapes Quarantine.,7.0
"ANARCHIST MEETING QUIET; No Prominent Speakers at Bartholdi Hall, Paterson. DENIAL OF ASSASSINATION PLOT Expression of Satisfaction at the Killing of King Humbert, However, Evokes Applause.",2.0
SPECIAL CABINET MEETING.,7.0
"BOY'S FIGHT WITH A HERON.; A Plucky Struggle on Both Sides, in Which the Bird Succumbed.",7.0
PHILADELPHIA PRICES.,7.0
"CHINESE TROOPS MASSACRE 10,000; Christian Town Near Peking Reported Wiped Out. SHAN-SI MISSIONARIES SLAIN Fifty Dead -- Englishwomen Beheaded in Streets of Chu-Chow -- Reports of Allies' Advance Discredited.",7.0
Dropped Dead While Bathing.,7.0
First Seawanhaka Cup Race To-day.,7.0
MR. WU VERY ANXIOUS.,7.0
NEW STAGE COACH LINE.; Extensions Granted to Fifth Avenue Company -- Corporation Counsel Criticised.,9.0
LEADERS UPHOLD M'ALPIN,4.0
OUTBREAKS IN THE SOUTH.,7.0
INDIA FAMINE RELIEF FUND.; United States Consul Fee Cables that Help Is Still Urgently Needed.,9.0
"MR. CROKER IS CONFIDENT; Enthusiastic Prediction of Bryan Victory to Mr. Gorman. SAYS NEW YORK WILL BE WON Tammany Leader on Imperialism and Its Effects, Which He Observed at Kansas City.",9.0
